StorageUnit,name,carrier,bus,p_nom,capital_cost,max_hours,efficiency_store,efficiency_dispatch,cyclic_state_of_charge,p_min_pu,build_year,control,type,p_nom_extendable,p_nom_min,p_nom_max,p_max_pu,p_set,q_set,sign,marginal_cost,lifetime,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge_per_period,standing_loss,inflow,p_nom_opt,country,bidding_zone,in_synchronous_network,p_set_before_scaling
471 hydro,Abjora 2,hydro,6712,128.25,177831.093925293,93.7894736842105,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,41.699975481715,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_1,1,128.25
472 hydro,Amdal 5,hydro,6711,22.68,177831.093925293,19.7666666666667,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,16.8582511546585,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,22.68
473 hydro,Amela 4,hydro,6857,47.68,177831.093925293,1510.8,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,33.485199924883,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,1,47.68
474 hydro,Amli Gjov 4,hydro,6372,19.9746,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,14.8473026240671,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,19.9746
475 hydro,Ardalen 7,hydro,6653,2.575,177831.093925293,816.136,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,0.0,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,1,0.0
476 hydro,Arna 3,hydro,6747,2.266,177831.093925293,108.363636363636,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,0.0,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,1,0.0
477 hydro,Aroy 2,hydro,6660,96.82,177831.093925293,209.644444444444,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,67.6116242960813,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,1,96.82
478 hydro,Asebotn 3,hydro,6651,15.45,177831.093925293,2525.86,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,10.7890889834172,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,1,15.45
479 hydro,Askerudfoss 7,hydro,6719,17.82,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,5.79410185640672,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_1,1,17.82
480 hydro,Asmulfoss 3,hydro,6941,13.2,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,8.58122342502371,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,1,13.2
481 hydro,Aunfoss 4,hydro,6941,32.494,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,21.1241116646,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,1,32.494
482 hydro,Bagn 3,hydro,6712,101.925,177831.093925293,26.1456953642384,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,33.1405068302051,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_1,1,101.925
483 hydro,Eidefossen 2,hydro,6874,19.668,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,13.8126449690143,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,1,19.668
484 hydro,Eide 3,hydro,6726,2.5812,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,0.0,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,0.0
485 hydro,Hodnaberg 3,hydro,6655,33.475,177831.093925293,3779.63076923077,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,23.3763594640707,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,1,33.475
486 hydro,Hardeland 4,hydro,6677,38.88,177831.093925293,2207.39722222222,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,28.8998591222717,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,38.88
487 hydro,Groa 6,hydro,6872,51.703,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,36.310513668545,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,1,51.703
488 hydro,Grodemfoss,hydro,6356,3.3264,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,0.0,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,0.0
489 hydro,Gronsdal 8,hydro,6653,37.08,177831.093925293,437.305555555556,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,25.8938135602014,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,1,37.08
490 hydro,Gronvollfoss 7,hydro,6725,35.64,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,26.491537528749,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,35.64
491 hydro,Grunnai 8,hydro,6725,27.3456,177831.093925293,7.77962085308057,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,20.3262342493311,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,1,27.3456
492 hydro,Grytaga 2,hydro,6937,54.23,177831.093925293,1367.30208333333,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,35.2545262378057,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,1,54.23
493 hydro,Guolasjohka 6,hydro,7019,88.0,177831.093925293,2811.4575,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,57.2081561668247,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,1,88.0
494 hydro,Haen 4,hydro,6868,37.25,177831.093925293,385.833333333333,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,26.1603124413149,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,1,37.25
495 hydro,Hakvik 3,hydro,6997,16.06,177831.093925293,2084.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,10.4404885004455,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,1,16.06
